site_id,bld_300m,bld_500m,bld_1000m,bld_dens_300m
site_135,475,982,3439,1680.0
site_26,115,298,1919,406.7
site_29,267,728,3940,944.3
site_35,589,1339,6376,2083.2
site_36,68,217,497,240.5
site_39,998,2608,9516,3529.7
site_43,677,2138,9994,2394.4
site_44,203,753,5814,718.0
site_45,1203,3406,13164,4254.7
site_46,1165,2138,5703,4120.3
site_47,629,1754,9751,2224.6
site_48,0,16,964,0.0
site_49,688,2582,9451,2433.3
site_51,454,2312,9928,1605.7
site_52,11,45,298,38.9
site_53,346,1532,8403,1223.7
site_54,918,3328,14311,3246.8
site_57,99,261,1190,350.1
site_58,307,1287,6133,1085.8
site_59,295,1035,3276,1043.3
site_60,550,2289,8698,1945.2
site_61,505,1635,6234,1786.1
site_62,806,1569,4369,2850.6
site_63,872,1999,7851,3084.1
site_64,200,545,2764,707.4
site_65,233,641,2867,824.1
site_66,187,705,2580,661.4
site_67,722,2640,12954,2553.6
site_68,981,2944,7793,3469.6
site_69,1075,2395,5806,3802.0
site_70,342,726,3606,1209.6
site_71,2,7,919,7.1
site_72,913,2462,8957,3229.1
site_74,1034,2337,8682,3657.0
site_76,1197,2707,11095,4233.5
site_79,762,1777,6397,2695.0
site_88,245,998,5898,866.5
site_89,1554,3389,9222,5496.2
site_91,396,1577,7211,1400.6
