site_id,fold,method,window_days,true_full_category,assigned_category,category_correct,rmse,mae,bias
site_35,1,full_history,0,5,5,True,14.211201921037224,11.890521428069226,9.097175580190319
site_36,1,full_history,0,0,0,True,12.781337941801628,9.343758686545124,-4.283051455330896
site_45,1,full_history,0,3,3,True,15.275198320313363,11.227693146046887,2.5573679888910847
site_54,1,full_history,0,3,3,True,17.834905644570213,14.0851527031027,-10.411202979565484
site_57,1,full_history,0,5,5,True,13.781997378332239,10.259704893316576,-4.4518411670367986
site_66,1,full_history,0,5,5,True,10.84443999753581,9.925649601201386,9.582191137252568
site_79,1,full_history,0,4,4,True,6.302249077688413,4.956540710279256,-4.3982928496095015
site_26,2,full_history,0,3,3,True,7.065893269661746,5.0235136391651825,-3.644091769654965
site_49,2,full_history,0,3,3,True,7.534599453826543,6.099753464622564,-1.9668673325065729
site_53,2,full_history,0,2,2,True,13.807654904724684,11.054971585152996,-10.291635514196383
site_58,2,full_history,0,4,4,True,14.884389907855008,11.622202736356675,-4.698903095837103
site_59,2,full_history,0,4,4,True,24.76932081194573,18.007130151814362,-15.139246512946862
site_60,2,full_history,0,1,1,True,9.59180726562759,7.264126412849307,-1.5395035932823888
site_64,2,full_history,0,4,4,True,15.222883547072758,12.018537414588017,1.5978445938585684
site_88,2,full_history,0,3,3,True,7.044398487627006,5.7888961545746955,-5.430823562430691
site_29,3,full_history,0,1,1,True,8.17332571698488,7.007964015317374,6.254478677504935
site_43,3,full_history,0,1,1,True,8.341607111074877,6.6793999808052185,2.902567414326834
site_47,3,full_history,0,1,1,True,7.965981753302445,6.254481387587897,1.300089152860725
site_63,3,full_history,0,1,1,True,18.39058901114355,16.49050829096714,-0.0177260029331603
site_67,3,full_history,0,5,5,True,8.041202770081428,6.256215211095312,3.215900503912215
site_69,3,full_history,0,5,5,True,10.15220660363095,8.023233648057836,2.1393221030728014
site_70,3,full_history,0,1,1,True,10.107703677927008,8.229321688936427,5.5571099645524145
site_89,3,full_history,0,0,0,True,5.015261060453175,3.9953941332495955,0.3619135726867583
site_135,4,full_history,0,0,0,True,8.81968856528581,7.247893230192395,4.703504861624218
site_39,4,full_history,0,1,1,True,10.1484498309756,8.250917960980571,-7.363037106894954
site_46,4,full_history,0,0,0,True,9.27098410409517,7.713832787106131,0.2877289426014767
site_51,4,full_history,0,1,1,True,14.918476023479576,10.901455535971557,-9.414736019571485
site_62,4,full_history,0,0,0,True,5.923515446615866,4.4644886699104545,1.7562912365399188
