horizon,model,feature_set,r2,rmse,mae,n_test,n_features
1,rf,rich_plus_current_weather,0.4749904026657611,11.297351688385598,8.494233595976226,2458,42.0
1,rf,rich_plus_weather_loc_category,0.47200699292904313,11.329405276014809,8.515401317575762,2458,47.0
1,persist_roll7,persistence,0.4529367718444042,11.640021813962417,8.573265662953505,2489,
1,rf,base_existing_plus_target_calendar,0.45002490850421617,11.670958978477747,8.699895350500483,2489,10.0
1,rf,rich_lag_roll_trend,0.4470227301241271,11.594356968900067,8.69174912644545,2458,34.0
1,hgb_abs,base_existing_plus_target_calendar,0.41419056636091645,12.045177738375349,8.851021500571528,2489,10.0
1,hgb_abs,rich_plus_weather_loc_category,0.4019328277880423,12.057798158863639,8.916166516540926,2458,47.0
1,hgb_l2,rich_plus_weather_loc_category,0.40147010092737856,12.062461839258827,8.992484359276917,2458,47.0
1,hgb_abs,rich_plus_current_weather,0.39658581264596493,12.111579546078172,8.942753371538789,2458,42.0
1,hgb_l2,base_existing_plus_target_calendar,0.38535135268325205,12.338106008460496,9.056727154322472,2489,10.0
1,hgb_l2,rich_plus_current_weather,0.3790689735637153,12.286118729172012,9.149901866601928,2458,42.0
1,persist_yesterday,persistence,0.34145158940135134,12.771117047481326,9.436262990801152,2489,
1,hgb_abs,rich_lag_roll_trend,0.33298341430645406,12.73389732773253,9.385541523713615,2458,34.0
1,hgb_l2,rich_lag_roll_trend,0.3038308468999056,13.009194754978594,9.726022301713957,2458,34.0
1,persist_lag7,persistence,0.11822570147471301,14.777934942581286,10.777920390686937,2489,
1,persist_lag1,persistence,0.08500447812055656,15.053743663458379,11.17353634803749,2489,
2,rf,rich_plus_weather_loc_category,0.46685514359843117,11.278306465942709,8.674294777145542,2394,47.0
2,persist_roll7,persistence,0.4650613453289538,11.363741681822944,8.575967571535754,2420,
2,rf,base_existing_plus_target_calendar,0.46427928779194416,11.372045301298833,8.642236238050332,2420,10.0
2,rf,rich_plus_current_weather,0.44793321633945793,11.476701562862841,8.76626327310856,2394,42.0
2,hgb_abs,base_existing_plus_target_calendar,0.4479060075595749,11.544519802041592,8.611181445415152,2420,10.0
2,rf,rich_lag_roll_trend,0.44690583190982835,11.487375546739628,8.760273170844822,2394,34.0
2,hgb_abs,rich_plus_current_weather,0.36540933232180495,12.304617568192924,9.327510075210043,2394,42.0
2,hgb_l2,base_existing_plus_target_calendar,0.360174353104485,12.427969664649646,9.226774882834206,2420,10.0
2,hgb_abs,rich_plus_weather_loc_category,0.3487453270655957,12.46512695148894,9.395554154958292,2394,47.0
2,hgb_abs,rich_lag_roll_trend,0.33381675496146324,12.607185195948432,9.538688514829259,2394,34.0
