site_id,pm25_mean,pm25_std,pm25_p90,pm25_season_amp,temp_mean,humidity_mean,windspeed_mean,precip_mean,lat,lon,n_days,cluster,category
site_135,29.28629128976048,11.040164020160471,43.35452380952381,17.76124030966325,22.319989485294172,81.79232495256493,1.515217530838846,0.8548848770239705,0.305629,32.516433,136.0,0,low-pollution / well-ventilated
site_26,32.73423836353138,11.871644094149158,48.32691666666666,23.88571937284383,22.10630531764707,81.48823641413239,1.6501737323568046,0.8415508288510118,0.317725,32.592509,425.0,0,low-pollution / well-ventilated
site_29,30.30808164580712,14.273908666411844,49.486375,41.06499225067431,22.159049108695683,81.10389827498416,1.6345016913620363,0.8252480764873479,0.311979,32.620263,460.0,0,low-pollution / well-ventilated
site_35,44.015527225270645,16.451590121014608,65.93583333333333,44.88884143023007,22.380016786703607,80.6966585792215,1.546150224835358,0.8757801253728533,0.365239,32.752781,361.0,1,high-pollution / well-ventilated
site_36,38.86613165823653,15.066451170042157,57.15083333333334,35.75937741709211,22.383507396593643,80.87547587704971,1.608985888134956,0.9547532907664232,0.355539,32.673375,411.0,0,low-pollution / well-ventilated
site_39,45.15017352647206,16.08586625283214,64.04595238095237,45.886726353109665,22.16558158008661,81.0594870127329,1.6276943853433188,0.8294701069855412,0.290822,32.553698,462.0,1,high-pollution / well-ventilated
site_43,37.850106660927395,17.256570196016128,61.506,40.47865929951017,22.15975696787143,81.08597788885663,1.5977695444883655,0.8333576741712451,0.284617,32.588796,498.0,1,high-pollution / well-ventilated
site_44,26.60277421226391,12.563177140445152,43.00375,31.83829426595323,22.14723669527899,81.15817850356126,1.6190416457514958,0.8311665626913735,0.339069,32.598046,466.0,0,low-pollution / well-ventilated
site_45,49.76058824579363,20.67221760569581,77.38108333333334,51.317370311898976,22.04926168316831,81.30137288585783,1.530097336303817,0.8397022104701782,0.340256,32.550518,505.0,1,high-pollution / well-ventilated
site_46,28.903486963312126,11.56772535912264,44.56442857142858,31.90385785834978,22.139274323232314,81.10830293570703,1.5851243115199534,0.836014507883394,0.30249,32.617487,495.0,0,low-pollution / well-ventilated
site_47,40.235638984074356,17.339094808809037,62.207125,36.99226045460887,21.985048413173672,81.02835427690339,1.4443356822081062,0.8288050845548502,0.351354,32.595478,334.0,1,high-pollution / well-ventilated
